,Wirkverluste/Active Losses
Zeitstempel,kWh
2019-01-01 00:15:00,39143.346123
2019-01-01 00:30:00,32788.068958
2019-01-01 00:45:00,33018.915678
2019-01-01 01:00:00,34574.672936
2019-01-01 01:15:00,33417.09555
2019-01-01 01:30:00,34716.826297
2019-01-01 01:45:00,31063.597739
2019-01-01 02:00:00,30518.516417
2019-01-01 02:15:00,33344.466641
2019-01-01 02:30:00,33763.341624
2019-01-01 02:45:00,32771.700249
2019-01-01 03:00:00,33518.565944
2019-01-01 03:15:00,34002.475979
2019-01-01 03:30:00,33340.004347
2019-01-01 03:45:00,34326.49874
2019-01-01 04:00:00,33464.872665
2019-01-01 04:15:00,32459.204503
2019-01-01 04:30:00,32300.493652
2019-01-01 04:45:00,34714.437933
2019-01-01 05:00:00,32225.287971
2019-01-01 05:15:00,36765.865614
2019-01-01 05:30:00,37881.561718
2019-01-01 05:45:00,35845.756926
2019-01-01 06:00:00,36897.943895
2019-01-01 06:15:00,41977.636115
2019-01-01 06:30:00,41927.560177
2019-01-01 06:45:00,42323.366904
2019-01-01 07:00:00,41400.97232
2019-01-01 07:15:00,44283.087586
2019-01-01 07:30:00,46523.674209
2019-01-01 07:45:00,47639.734987
2019-01-01 08:00:00,50690.195954
2019-01-01 08:15:00,45448.855758
2019-01-01 08:30:00,50325.495012
2019-01-01 08:45:00,48893.727593
2019-01-01 09:00:00,53320.732462
2019-01-01 09:15:00,44597.281277
2019-01-01 09:30:00,47806.621953
2019-01-01 09:45:00,49364.230557
2019-01-01 10:00:00,51437.011528
2019-01-01 10:15:00,45450.221748
2019-01-01 10:30:00,49228.443686
2019-01-01 10:45:00,47964.599425
2019-01-01 11:00:00,45465.431306
2019-01-01 11:15:00,48311.702019
2019-01-01 11:30:00,42939.564251
2019-01-01 11:45:00,42970.758809
2019-01-01 12:00:00,43024.783657
2019-01-01 12:15:00,37144.96383
2019-01-01 12:30:00,37642.307275
2019-01-01 12:45:00,35649.680253
2019-01-01 13:00:00,37054.712724
2019-01-01 13:15:00,35355.727689
2019-01-01 13:30:00,38401.691692
2019-01-01 13:45:00,36158.515198
2019-01-01 14:00:00,36379.883714
2019-01-01 14:15:00,41238.121886
2019-01-01 14:30:00,39122.115713
2019-01-01 14:45:00,47723.743145
2019-01-01 15:00:00,45584.968537
2019-01-01 15:15:00,49146.874244
2019-01-01 15:30:00,53314.076212
2019-01-01 15:45:00,51555.073007
2019-01-01 16:00:00,50084.57733
2019-01-01 16:15:00,49517.749922
2019-01-01 16:30:00,49897.023177
2019-01-01 16:45:00,47174.18418
2019-01-01 17:00:00,50752.133805
2019-01-01 17:15:00,40000.513577
2019-01-01 17:30:00,45385.633833
2019-01-01 17:45:00,44004.289954
2019-01-01 18:00:00,44856.815249
2019-01-01 18:15:00,41008.138376
2019-01-01 18:30:00,40737.654165
2019-01-01 18:45:00,44229.933412
2019-01-01 19:00:00,41052.24232
2019-01-01 19:15:00,38037.861357
2019-01-01 19:30:00,40861.693859
2019-01-01 19:45:00,42486.730958
2019-01-01 20:00:00,39607.480176
2019-01-01 20:15:00,46628.119018
2019-01-01 20:30:00,49124.09003
2019-01-01 20:45:00,45988.966547
2019-01-01 21:00:00,48195.51665
2019-01-01 21:15:00,47517.013062
2019-01-01 21:30:00,46043.839452
2019-01-01 21:45:00,47258.17519
2019-01-01 22:00:00,47546.273448
2019-01-01 22:15:00,51590.482556
2019-01-01 22:30:00,51320.91278
2019-01-01 22:45:00,46205.123965
2019-01-01 23:00:00,48869.51056
2019-01-01 23:15:00,44902.470819
2019-01-01 23:30:00,44699.514552
2019-01-01 23:45:00,45405.383311
2019-01-02 00:00:00,45186.3371
2019-01-02 00:15:00,43119.630258
2019-01-02 00:30:00,39205.104745
2019-01-02 00:45:00,42290.55672
2019-01-02 01:00:00,38752.344278
2019-01-02 01:15:00,40410.955709
2019-01-02 01:30:00,37466.898434
2019-01-02 01:45:00,40557.323627
2019-01-02 02:00:00,41819.397716
2019-01-02 02:15:00,38085.276786
2019-01-02 02:30:00,41052.020634
2019-01-02 02:45:00,35577.21235
2019-01-02 03:00:00,42912.620842
2019-01-02 03:15:00,39623.069168
2019-01-02 03:30:00,40593.306182
2019-01-02 03:45:00,40494.147434
2019-01-02 04:00:00,41845.315188
2019-01-02 04:15:00,42619.516659
2019-01-02 04:30:00,41572.818437
2019-01-02 04:45:00,42793.203994
2019-01-02 05:00:00,41525.193207
2019-01-02 05:15:00,46109.651729
2019-01-02 05:30:00,46270.785263
2019-01-02 05:45:00,50738.351627
2019-01-02 06:00:00,50127.000331
2019-01-02 06:15:00,54326.761312
2019-01-02 06:30:00,53730.402419
2019-01-02 06:45:00,54938.391049
2019-01-02 07:00:00,56953.07422
2019-01-02 07:15:00,49361.364926
2019-01-02 07:30:00,48989.540844
2019-01-02 07:45:00,52036.232967
2019-01-02 08:00:00,54105.604959
2019-01-02 08:15:00,48562.526317
2019-01-02 08:30:00,53152.853998
2019-01-02 08:45:00,48086.782394
2019-01-02 09:00:00,51496.382479
2019-01-02 09:15:00,47240.984742
2019-01-02 09:30:00,40851.930622
2019-01-02 09:45:00,45809.322924
2019-01-02 10:00:00,41887.829853
2019-01-02 10:15:00,40747.142901
2019-01-02 10:30:00,40836.615472
2019-01-02 10:45:00,42794.168385
2019-01-02 11:00:00,41339.220416
2019-01-02 11:15:00,43908.13649
2019-01-02 11:30:00,40708.908913
2019-01-02 11:45:00,38947.616025
2019-01-02 12:00:00,39354.808138
2019-01-02 12:15:00,32482.148775
2019-01-02 12:30:00,30398.30453
2019-01-02 12:45:00,31778.667498
2019-01-02 13:00:00,30197.416454
2019-01-02 13:15:00,35526.079867
2019-01-02 13:30:00,35027.400731
2019-01-02 13:45:00,37482.864678
2019-01-02 14:00:00,37739.197474
2019-01-02 14:15:00,38608.434586
2019-01-02 14:30:00,39875.499894
2019-01-02 14:45:00,43556.266085
2019-01-02 15:00:00,46390.224337
2019-01-02 15:15:00,43079.621877
2019-01-02 15:30:00,41819.975136
2019-01-02 15:45:00,41942.085345
2019-01-02 16:00:00,45939.416863
2019-01-02 16:15:00,37072.015019
2019-01-02 16:30:00,39452.584367
2019-01-02 16:45:00,40222.012355
2019-01-02 17:00:00,42268.090207
2019-01-02 17:15:00,33028.418059
2019-01-02 17:30:00,36389.651676
2019-01-02 17:45:00,35018.167946
2019-01-02 18:00:00,33130.703637
2019-01-02 18:15:00,36507.667694
2019-01-02 18:30:00,42186.755214
2019-01-02 18:45:00,37631.864917
2019-01-02 19:00:00,38973.861854
2019-01-02 19:15:00,43239.215764
2019-01-02 19:30:00,43761.588585
2019-01-02 19:45:00,43028.974424
2019-01-02 20:00:00,45159.125754
2019-01-02 20:15:00,50237.063388
2019-01-02 20:30:00,48275.77116
2019-01-02 20:45:00,49468.799555
2019-01-02 21:00:00,46090.068874
2019-01-02 21:15:00,43307.204895
2019-01-02 21:30:00,47045.562365
2019-01-02 21:45:00,44204.794203
2019-01-02 22:00:00,44141.182346
2019-01-02 22:15:00,50967.859557
2019-01-02 22:30:00,47886.86855
2019-01-02 22:45:00,41997.924146
2019-01-02 23:00:00,45626.971084
2019-01-02 23:15:00,44400.004241
2019-01-02 23:30:00,46042.568635
2019-01-02 23:45:00,45229.920851
2019-01-03 00:00:00,44049.999355
2019-01-03 00:15:00,42089.80529
2019-01-03 00:30:00,41855.895699
2019-01-03 00:45:00,40507.858146
2019-01-03 01:00:00,42599.4674
2019-01-03 01:15:00,42781.809692
2019-01-03 01:30:00,39718.717266
2019-01-03 01:45:00,39967.465755
2019-01-03 02:00:00,39023.642518
2019-01-03 02:15:00,40620.812156
2019-01-03 02:30:00,40963.229929
2019-01-03 02:45:00,42877.068669
2019-01-03 03:00:00,40106.757147
2019-01-03 03:15:00,39345.459197
2019-01-03 03:30:00,32302.398534
2019-01-03 03:45:00,36244.891566
2019-01-03 04:00:00,37102.215773
2019-01-03 04:15:00,32951.560387
2019-01-03 04:30:00,32267.210026
2019-01-03 04:45:00,32686.347014
2019-01-03 05:00:00,35320.89105
2019-01-03 05:15:00,40726.684545
2019-01-03 05:30:00,43281.822384
2019-01-03 05:45:00,36682.352546
2019-01-03 06:00:00,41143.323091
2019-01-03 06:15:00,41291.184628
2019-01-03 06:30:00,42661.494581
2019-01-03 06:45:00,43466.712661
2019-01-03 07:00:00,44091.645223
2019-01-03 07:15:00,35336.10938
