datetime,solar_fore_de [MW],solar_fore_it [MW],wind_fore_de [MW],wind_fore_it [MW]
2019-01-01 00:00:00,0.0,0.0,21344.8514,4302.6977
2019-01-01 01:00:00,0.0,0.0,23052.331,4596.5916
2019-01-01 02:00:00,0.0,0.0,24969.9701,4478.5564
2019-01-01 03:00:00,0.0,0.0,27082.9626,4323.3712
2019-01-01 04:00:00,0.0,0.0,26890.9717,4231.8283
2019-01-01 05:00:00,0.0,0.0,27740.1555,4266.3082
2019-01-01 06:00:00,0.0,0.0,28668.3637,4323.5054
2019-01-01 07:00:00,0.0,99.0,32539.1119,4362.4762
2019-01-01 08:00:00,131.0,1355.0,32803.7838,4420.7634
2019-01-01 09:00:00,1104.0,3133.0,32869.0271,4555.673
2019-01-01 10:00:00,2119.0,4423.0,32843.602,4795.2464
2019-01-01 11:00:00,2755.0,5165.0,33401.6554,4650.6737
2019-01-01 12:00:00,2888.0,5224.0,34047.5459,4456.6801
2019-01-01 13:00:00,2623.0,4722.0,34266.1751,4414.9774
2019-01-01 14:00:00,1775.0,3595.0,35997.4125,3952.2944
2019-01-01 15:00:00,722.0,1965.0,37841.5032,3476.5546
2019-01-01 16:00:00,41.0,343.0,37485.1176,3050.5234
2019-01-01 17:00:00,0.0,0.0,38010.4885,2790.4242
2019-01-01 18:00:00,0.0,0.0,38464.5598,2531.3827
2019-01-01 19:00:00,0.0,0.0,42058.5513,2301.8672
2019-01-01 20:00:00,0.0,0.0,42351.3147,2263.6962
2019-01-01 21:00:00,0.0,0.0,41921.33,2168.5224
2019-01-01 22:00:00,0.0,0.0,40955.2053,2025.7277
2019-01-01 23:00:00,0.0,0.0,39291.3328,1935.2035
2019-01-02 00:00:00,0.0,0.0,37740.9952,1999.7902
2019-01-02 01:00:00,0.0,0.0,36316.9588,2230.8105
2019-01-02 02:00:00,0.0,0.0,35664.6531,2138.4336
2019-01-02 03:00:00,0.0,0.0,35411.2512,2014.8346
2019-01-02 04:00:00,0.0,0.0,33715.8108,1931.9359
2019-01-02 05:00:00,0.0,0.0,33287.7672,1816.4149
2019-01-02 06:00:00,0.0,0.0,32794.0608,1771.5068
2019-01-02 07:00:00,0.0,76.0,33934.7303,1839.5891
2019-01-02 08:00:00,319.0,1087.0,33174.7561,1894.8984
2019-01-02 09:00:00,2684.0,2563.0,32038.6069,1998.5321
2019-01-02 10:00:00,5129.0,3647.0,30739.7869,2212.2175
2019-01-02 11:00:00,6661.0,4278.0,30899.8003,2592.1017
2019-01-02 12:00:00,6986.0,4339.0,30950.6097,3024.2737
2019-01-02 13:00:00,6155.0,4028.0,30094.083,3326.806
2019-01-02 14:00:00,4212.0,3064.0,27572.6448,3793.5822
2019-01-02 15:00:00,1778.0,1683.0,25040.8565,4258.8705
2019-01-02 16:00:00,110.0,295.0,24497.4441,4589.2923
2019-01-02 17:00:00,0.0,0.0,22820.6704,4602.0232
2019-01-02 18:00:00,0.0,0.0,21071.4639,4583.1222
2019-01-02 19:00:00,0.0,0.0,16243.7268,4431.6694
2019-01-02 20:00:00,0.0,0.0,14421.6052,4770.2858
2019-01-02 21:00:00,0.0,0.0,12458.7235,5105.9795
2019-01-02 22:00:00,0.0,0.0,10588.0815,5382.2805
2019-01-02 23:00:00,0.0,0.0,10476.0296,5523.0845
2019-01-03 00:00:00,0.0,0.0,10514.7143,5730.1666
2019-01-03 01:00:00,0.0,0.0,10056.3845,5748.6537
2019-01-03 02:00:00,0.0,0.0,10352.3911,5689.8977
2019-01-03 03:00:00,0.0,0.0,10841.0967,5553.7723
2019-01-03 04:00:00,0.0,0.0,12928.5947,5398.6824
2019-01-03 05:00:00,0.0,0.0,12544.5551,5242.9837
2019-01-03 06:00:00,0.0,0.0,12281.6904,5103.5706
2019-01-03 07:00:00,0.0,85.0,14642.3094,4720.6058
2019-01-03 08:00:00,260.0,1309.0,13744.3865,4821.6906
2019-01-03 09:00:00,2093.0,3100.0,12563.7509,4987.2005
2019-01-03 10:00:00,3980.0,4406.0,11246.3956,5244.3696
2019-01-03 11:00:00,5162.0,5174.0,10663.6083,5628.0904
2019-01-03 12:00:00,5409.0,5260.0,10246.201,5985.1281
2019-01-03 13:00:00,5129.0,4885.0,10023.6825,6231.5593
2019-01-03 14:00:00,3505.0,3737.0,8984.1637,5986.3738
2019-01-03 15:00:00,1472.0,2070.0,8091.1548,5638.5068
2019-01-03 16:00:00,96.0,386.0,8579.0104,5182.3101
2019-01-03 17:00:00,0.0,0.0,8170.6844,5240.389
2019-01-03 18:00:00,0.0,0.0,7820.2033,5256.8031
2019-01-03 19:00:00,0.0,0.0,7683.8061,5510.9874
2019-01-03 20:00:00,0.0,0.0,7578.5428,5489.03
2019-01-03 21:00:00,0.0,0.0,7181.9596,5425.0483
2019-01-03 22:00:00,0.0,0.0,6646.2979,5320.1078
2019-01-03 23:00:00,0.0,0.0,6572.1208,5225.9993
2019-01-04 00:00:00,0.0,0.0,6746.1168,5098.4209
2019-01-04 01:00:00,0.0,0.0,6509.2052,5175.6001
2019-01-04 02:00:00,0.0,0.0,7722.9714,4707.8122
2019-01-04 03:00:00,0.0,0.0,9029.0736,4243.067
2019-01-04 04:00:00,0.0,0.0,10454.4104,3902.5355
2019-01-04 05:00:00,0.0,0.0,11611.4079,3760.2072
2019-01-04 06:00:00,0.0,0.0,12930.836,3659.0563
2019-01-04 07:00:00,0.0,66.0,17205.2024,3617.7075
2019-01-04 08:00:00,94.0,1193.0,18032.2897,3657.6216
2019-01-04 09:00:00,952.0,2890.0,18732.2554,3723.2347
2019-01-04 10:00:00,1881.0,4146.0,19415.183,3871.5575
2019-01-04 11:00:00,2467.0,4897.0,20439.3562,4026.2932
2019-01-04 12:00:00,2602.0,4993.0,21604.5992,4267.3726
2019-01-04 13:00:00,2056.0,4532.0,22092.0396,4900.0404
2019-01-04 14:00:00,1423.0,3472.0,21877.5043,4530.1209
2019-01-04 15:00:00,624.0,1937.0,21916.5677,4109.7296
2019-01-04 16:00:00,45.0,383.0,23280.7124,3721.8863
2019-01-04 17:00:00,0.0,0.0,23594.5188,3493.6503
2019-01-04 18:00:00,0.0,0.0,23933.8666,3251.5498
2019-01-04 19:00:00,0.0,0.0,22961.2558,3530.5655
2019-01-04 20:00:00,0.0,0.0,23873.3712,3270.9418
2019-01-04 21:00:00,0.0,0.0,24124.2887,2988.5777
2019-01-04 22:00:00,0.0,0.0,24032.5998,2939.7346
2019-01-04 23:00:00,0.0,0.0,24285.7366,2898.3461
