datetime,temperature_fore_ch,temperature_fore_fr,temperature_fore_de,temperature_fore_it
2019-01-01 01:00:00,4.1067,5.9729,7.4268,4.0281
2019-01-01 07:00:00,1.7595,5.5398,6.3425,2.7281
2019-01-01 13:00:00,4.8823,8.6471,7.4596,7.7386
2019-01-01 19:00:00,3.1899,6.7846,5.2598,3.9186
2019-01-02 01:00:00,4.0144,6.4055,4.1154,3.5786
2019-01-02 07:00:00,1.1765,4.3653,2.9815,5.7586
2019-01-02 13:00:00,4.6479,7.5574,4.2769,10.9684
2019-01-02 19:00:00,1.1906,4.5087,0.9096,6.8884
2019-01-03 01:00:00,0.0751,2.5589,-1.4108,5.4884
2019-01-03 07:00:00,-1.6778,1.3214,-1.0364,0.5084
2019-01-03 13:00:00,2.026,6.0339,2.4627,8.0754
2019-01-03 19:00:00,-0.4715,3.7045,-0.0868,0.9354
2019-01-04 01:00:00,0.2398,1.4714,-0.6485,-1.4046
2019-01-04 07:00:00,-0.5695,1.2227,0.5836,-2.6446
2019-01-04 13:00:00,3.322,5.5376,3.0349,6.1417
2019-01-04 19:00:00,-0.456,3.4969,3.7087,1.6217
2019-01-05 01:00:00,0.5125,2.946,4.6812,-1.3183
2019-01-05 07:00:00,0.4257,2.0252,5.5124,-1.4383
2019-01-05 13:00:00,1.8619,6.2139,6.4839,6.2018
2019-01-05 19:00:00,1.6404,4.9772,4.6948,3.7218
2019-01-06 01:00:00,2.4814,4.4999,3.467,0.9218
2019-01-06 07:00:00,2.0047,3.1732,2.2995,2.9418
2019-01-06 13:00:00,4.0944,6.6915,4.1374,11.6246
2019-01-06 19:00:00,2.2654,5.1611,3.7705,6.1446
2019-01-07 01:00:00,2.3924,5.6182,3.1076,2.5646
2019-01-07 07:00:00,1.852,3.8939,3.1469,-0.0954
2019-01-07 13:00:00,4.1913,8.0576,5.4853,7.4529
2019-01-07 19:00:00,2.1738,6.686,5.0021,0.5329
2019-01-08 01:00:00,2.5932,6.6164,5.9132,-0.5671
2019-01-08 07:00:00,2.2019,7.2525,5.419,0.1129
2019-01-08 13:00:00,4.3715,9.321,6.2268,4.3878
2019-01-08 19:00:00,2.3215,7.0846,3.8311,2.6878
2019-01-09 01:00:00,3.4302,5.6918,3.5968,1.0878
2019-01-09 07:00:00,0.8339,4.789,2.3129,2.7478
2019-01-09 13:00:00,2.7782,7.139,2.9716,8.0223
2019-01-09 19:00:00,-0.4152,4.2072,2.1148,3.7023
2019-01-10 01:00:00,-0.2045,3.3001,1.6793,3.4423
2019-01-10 07:00:00,-0.9944,1.1184,0.6148,1.3023
2019-01-10 13:00:00,1.0706,5.7385,1.8219,8.9343
2019-01-10 19:00:00,-0.2208,3.686,0.2291,3.5943
2019-01-11 01:00:00,-0.3988,2.8083,0.2598,0.3143
2019-01-11 07:00:00,-2.1396,2.0725,0.6507,-1.5057
2019-01-11 13:00:00,1.1102,6.4836,3.062,7.2237
2019-01-11 19:00:00,-0.3833,5.5445,4.2948,2.3637
2019-01-12 01:00:00,0.3963,4.7924,4.3912,-0.5363
2019-01-12 07:00:00,0.5575,4.6944,4.3396,-2.0563
2019-01-12 13:00:00,2.9417,8.5541,5.4481,5.9563
2019-01-12 19:00:00,2.811,7.9156,5.1129,2.2763
2019-01-13 01:00:00,2.9791,8.564,5.61,0.4163
2019-01-13 07:00:00,2.8487,8.6072,5.7019,0.0763
2019-01-13 13:00:00,4.5631,11.4277,6.9866,9.3642
2019-01-13 19:00:00,5.5213,9.9739,7.3192,3.8442
2019-01-14 01:00:00,6.9799,10.173,6.0242,4.4842
2019-01-14 07:00:00,4.3784,8.3478,3.5145,5.7842
2019-01-14 13:00:00,6.1398,10.834,3.7075,13.8997
2019-01-14 19:00:00,3.1726,7.5607,1.4642,8.5197
2019-01-15 01:00:00,2.7661,6.7992,1.9929,8.6797
2019-01-15 07:00:00,0.9112,4.7379,2.0745,3.0197
2019-01-15 13:00:00,5.5335,9.6703,5.2545,12.2329
2019-01-15 19:00:00,1.6749,6.2239,5.7219,5.9729
2019-01-16 01:00:00,-0.0632,4.1034,6.012,3.5129
2019-01-16 07:00:00,-1.4412,2.4517,4.7245,2.4729
2019-01-16 13:00:00,4.855,8.6794,6.3515,11.842
2019-01-16 19:00:00,0.6765,7.6056,4.5876,7.842
2019-01-17 01:00:00,2.0908,7.9659,4.3102,8.562
2019-01-17 07:00:00,3.1292,6.8159,4.6739,6.582
2019-01-17 13:00:00,6.0461,9.3895,6.4667,9.3515
2019-01-17 19:00:00,1.8431,5.1018,2.9639,6.8715
2019-01-18 01:00:00,1.7516,2.5537,1.5338,6.9515
2019-01-18 07:00:00,-2.0387,0.879,-1.5073,4.7715
2019-01-18 13:00:00,2.9361,5.7621,1.8007,11.0424
2019-01-18 19:00:00,-0.4141,3.1403,-0.284,7.3024
2019-01-19 01:00:00,-2.0678,0.7305,-0.864,6.5224
2019-01-19 07:00:00,-2.7321,0.1738,-2.6911,5.0024
2019-01-19 13:00:00,1.2263,4.7815,1.234,7.977
2019-01-19 19:00:00,-1.6824,4.0856,-2.1878,3.697
2019-01-20 01:00:00,-2.2103,3.4328,-4.3584,2.117
2019-01-20 07:00:00,-1.5154,2.5938,-5.5985,1.797
2019-01-20 13:00:00,1.9192,5.7367,-0.4847,8.077
2019-01-20 19:00:00,-0.0972,4.2513,-3.0692,5.397
2019-01-21 01:00:00,0.2089,1.8597,-4.0932,1.617
2019-01-21 07:00:00,-1.8721,-1.2978,-4.1812,1.757
2019-01-21 13:00:00,1.9998,3.7734,-1.407,7.5842
2019-01-21 19:00:00,-0.2452,0.7159,-2.8758,3.6642
2019-01-22 01:00:00,-0.5357,-0.3809,-3.497,1.2842
2019-01-22 07:00:00,-1.4922,0.0192,-3.706,0.5842
2019-01-22 13:00:00,0.5197,3.413,-1.0239,6.2618
2019-01-22 19:00:00,-2.0617,2.4347,-3.1515,2.0618
2019-01-23 01:00:00,-2.3389,2.2018,-4.2019,0.0618
2019-01-23 07:00:00,-2.4528,0.7297,-5.0365,0.3418
2019-01-23 13:00:00,1.0662,3.1276,-3.2152,5.0827
2019-01-23 19:00:00,-1.6801,1.7804,-4.8585,2.4027
2019-01-24 01:00:00,-0.3012,1.1698,-4.0057,2.8627
2019-01-24 07:00:00,-1.7255,-0.0334,-5.4406,0.4627
2019-01-24 13:00:00,0.4599,3.0284,-3.4949,6.5006
2019-01-24 19:00:00,-1.844,1.9642,-3.4909,3.1606
2019-01-25 01:00:00,-2.1428,1.3325,-4.138,1.1206
2019-01-25 07:00:00,-3.9601,1.4578,-4.0851,1.0406
2019-01-25 13:00:00,0.8469,4.9572,-2.3348,8.2818
2019-01-25 19:00:00,-2.1653,4.5416,-2.2495,1.6218
2019-01-26 01:00:00,-0.3595,5.2568,-1.1075,0.0418
2019-01-26 07:00:00,0.5525,5.7577,1.7343,-0.8382
2019-01-26 13:00:00,3.4093,8.9677,3.5017,7.5208
2019-01-26 19:00:00,2.1322,7.5829,2.9406,1.8208
2019-01-27 01:00:00,1.6922,6.516,4.2241,-0.4992
2019-01-27 07:00:00,2.8701,6.2218,3.7482,1.6208
2019-01-27 13:00:00,6.5751,9.0031,5.9847,5.0311
2019-01-27 19:00:00,2.5956,5.2572,3.6545,4.7111
2019-01-28 01:00:00,1.6693,4.9686,3.172,5.3311
2019-01-28 07:00:00,-0.4361,2.6783,1.7852,3.9711
2019-01-28 13:00:00,3.364,6.7915,3.9466,10.5743
2019-01-28 19:00:00,1.0137,4.0793,1.8531,2.5943
2019-01-29 01:00:00,1.159,1.7925,0.7514,0.9343
2019-01-29 07:00:00,-0.6704,0.3463,-0.6978,-0.7457
2019-01-29 13:00:00,3.1299,5.4602,2.6913,8.6892
2019-01-29 19:00:00,-0.1035,4.2448,-0.772,2.8892
2019-01-30 01:00:00,-0.4663,2.823,-1.0397,2.2692
2019-01-30 07:00:00,0.3457,2.9287,-2.0798,1.5892
2019-01-30 13:00:00,3.6806,5.2916,2.5664,4.9526
2019-01-30 19:00:00,-1.1464,3.3409,0.873,3.2926
2019-01-31 01:00:00,-1.2093,2.1718,-0.1827,1.4526
2019-01-31 07:00:00,-1.4912,-0.5343,-1.3455,-0.9474
2019-01-31 13:00:00,2.6772,5.0075,2.5191,5.644
2019-01-31 19:00:00,0.5529,5.3349,0.0236,5.084
2019-02-01 01:00:00,2.8294,6.03,-0.3962,5.344
2019-02-01 07:00:00,2.081,5.548,-0.7612,5.764
2019-02-01 13:00:00,3.3158,8.8285,2.2068,6.4603
2019-02-01 19:00:00,1.2028,6.9613,0.9739,6.1003
