number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,state
0,20.945137267027484,2023-11-13 18:39:08.824714,2023-11-13 18:39:11.080358,0 days 00:00:02.255644,16.969854056072553,0.169701001297497,1826,COMPLETE
1,28.395129319069135,2023-11-13 18:39:11.080873,2023-11-13 18:39:12.982898,0 days 00:00:01.902025,93.05184020550702,0.522692850082691,4576,COMPLETE
2,28.395129319069135,2023-11-13 18:39:12.983362,2023-11-13 18:39:14.843714,0 days 00:00:01.860352,60.34152171157658,0.7893441857353102,3046,COMPLETE
3,27.7237772928882,2023-11-13 18:39:14.844200,2023-11-13 18:39:16.750427,0 days 00:00:01.906227,57.01603885199922,0.34629865117741554,1187,COMPLETE
4,28.37658813819264,2023-11-13 18:39:16.750936,2023-11-13 18:39:18.649235,0 days 00:00:01.898299,51.081337089502554,0.5245891700004023,1571,COMPLETE
5,25.890052989680363,2023-11-13 18:39:18.649691,2023-11-13 18:39:20.582854,0 days 00:00:01.933163,48.96889361148329,0.28992374037616975,2243,COMPLETE
6,28.395129319069135,2023-11-13 18:39:20.583322,2023-11-13 18:39:22.452098,0 days 00:00:01.868776,65.02474900012541,0.8401592138798305,3518,COMPLETE
7,28.395129319069135,2023-11-13 18:39:22.452520,2023-11-13 18:39:24.330058,0 days 00:00:01.877538,66.4755595820692,0.7832803209500474,1671,COMPLETE
8,28.395129319069135,2023-11-13 18:39:24.330506,2023-11-13 18:39:26.217689,0 days 00:00:01.887183,78.0572633542736,0.818160077917499,2022,COMPLETE
9,28.263365652956423,2023-11-13 18:39:26.218147,2023-11-13 18:39:28.122615,0 days 00:00:01.904468,49.99969791230604,0.48328596771195376,4606,COMPLETE
10,20.419064819494146,2023-11-13 18:39:28.123070,2023-11-13 18:39:30.287599,0 days 00:00:02.164529,12.934416839832465,0.08298239907478078,660,COMPLETE
11,20.179401159249057,2023-11-13 18:39:30.288049,2023-11-13 18:39:32.455723,0 days 00:00:02.167674,11.207004870479704,0.015786220007679097,689,COMPLETE
